country,number cars,average fuel efficiency
AL,1362020.624979716,0.7560759187607794
AT,4694921.0,0.724410553957273
BA,1822461.74880625,0.7560759187607794
BE,5555499.0,0.6159634855966702
BG,3108260.0,0.778579871096174
CH,4136000.0,0.7560759187607794
CZ,4833386.0,0.725649280234604
DE,44403124.0,0.7356716522800745
DK,2330145.0,0.6671522703977283
EE,652950.0,0.8193292987668739
ES,22029512.0,0.7427133080784349
FI,3194950.0,0.6514150389394373
FR,32531000.0,0.614445567621746
GB,30557157.0,0.720611220739221
GR,5088961.0,0.7264654958706628
HR,1474000.0,0.6951323663345719
HU,3119683.0,0.7881359267877261
IE,2018310.0,0.7860234957061542
IT,38120255.0,0.656403959686993
LT,1372225.0,0.7095317059430483
LU,372827.0,1.7041422955057406
LV,657799.0,0.8130113131620029
ME,306019.1518274509,0.7560759187607794
MK,971257.7080308172,0.7560759187607794
NL,7932290.0,0.6518291064078279
NO,2391186.5725101894,0.7560759187607794
PL,20003863.0,0.7701598723926548
PT,4699645.0,0.6415650363845155
RO,4908000.0,0.7188917439823584
RS,3394458.5918091093,0.7560759187607794
SE,4584711.0,0.8086570280927817
SI,1119360.0,0.7394907382952504
SK,1949055.0,0.652592255519744
