name,p_nom_max,weight,p_nom,capital_cost,carrier,marginal_cost,p_nom_extendable,bus,efficiency,control,p_nom_opt,type,strength,dE,country,p_nom_min,p_min_pu,p_max_pu,p_set,q_set,sign,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
AT0 0 retrofitting ambitious services urban decentral,794.3226228412501,,0.0,318723.3962286348,retrofitting,0.010731126030944393,True,AT0 0 services urban decentral heat,1.0,PQ,0.003931040693741175,services urban decentral, retrofitting ambitious,0.21790502345276164,AT,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AT0 0 retrofitting moderate urban central,2137.0150830760463,,0.0,266361.4714269122,retrofitting,0.009262610289142503,True,AT0 0 urban central heat,1.0,PQ,7.460287350790988e-06,urban central, retrofitting moderate,0.4582248535376833,AT,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AT0 0 retrofitting ambitious urban central,1038.5383981409173,,0.0,306341.0504185409,retrofitting,0.009871279555802638,True,AT0 0 urban central heat,1.0,PQ,6.115875974505841e-06,urban central, retrofitting ambitious,0.2226863577847979,AT,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting moderate residential rural,541.8394464680398,,0.0,122156.89655257647,retrofitting,0.009980753614688741,True,BA0 0 residential rural heat,1.0,PQ,541.8376637526324,residential rural, retrofitting moderate,0.453916472446643,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting ambitious residential rural,327.3807466719822,,0.0,132075.40573091607,retrofitting,0.010706683614530517,True,BA0 0 residential rural heat,1.0,PQ,327.3751364506674,residential rural, retrofitting ambitious,0.27425746620140096,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting moderate services rural,196.35768154126055,,0.0,399725.6381595038,retrofitting,0.01030735501669055,True,BA0 0 services rural heat,1.0,PQ,7.198574647670863e-06,services rural, retrofitting moderate,0.5875601675446337,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting ambitious services rural,83.96407141803238,,0.0,473224.2927143804,retrofitting,0.009014245874137055,True,BA0 0 services rural heat,1.0,PQ,5.169701701561748e-06,services rural, retrofitting ambitious,0.25124529625158654,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting moderate residential urban decentral,300.79921466376453,,0.0,122156.89655257645,retrofitting,0.010698717600646328,True,BA0 0 residential urban decentral heat,1.0,PQ,300.79841426476867,residential urban decentral, retrofitting moderate,0.453916472446643,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting ambitious residential urban decentral,181.74363667481276,,0.0,132075.40573091607,retrofitting,0.009774149906585303,True,BA0 0 residential urban decentral heat,1.0,PQ,181.74282165614449,residential urban decentral, retrofitting ambitious,0.27425746620140096,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting moderate services urban decentral,109.00689638935808,,0.0,399725.63815950375,retrofitting,0.009320619649617038,True,BA0 0 services urban decentral heat,1.0,PQ,4.5784589827027295e-05,services urban decentral, retrofitting moderate,0.5875601675446337,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting ambitious services urban decentral,46.61219648578338,,0.0,473224.2927143804,retrofitting,0.009960741738683734,True,BA0 0 services urban decentral heat,1.0,PQ,6.1596405004787e-06,services urban decentral, retrofitting ambitious,0.25124529625158654,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting moderate urban central,123.82486601574118,,0.0,154022.92579016683,retrofitting,0.00976436189572979,True,BA0 0 urban central heat,1.0,PQ,1.653913716343128e-05,urban central, retrofitting moderate,0.5261630226573718,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BA0 0 retrofitting ambitious urban central,63.359564020386685,,0.0,178773.90434506017,retrofitting,0.010612099206122326,True,BA0 0 urban central heat,1.0,PQ,1.2695201897783742e-05,urban central, retrofitting ambitious,0.26923073524652075,BA,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting moderate residential rural,908.3542959128315,,0.0,140024.15849332005,retrofitting,0.010754967423322707,True,BE0 0 residential rural heat,1.0,PQ,908.3515555592103,residential rural, retrofitting moderate,0.5818516525422083,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting ambitious residential rural,351.58787392795534,,0.0,162151.0385477263,retrofitting,0.010303403723422682,True,BE0 0 residential rural heat,1.0,PQ,351.5857673084836,residential rural, retrofitting ambitious,0.22521166727482925,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting moderate services rural,540.1489689496212,,0.0,93388.2790559579,retrofitting,0.009541747572805123,True,BE0 0 services rural heat,1.0,PQ,540.1479685974209,services rural, retrofitting moderate,0.6658143975711579,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting ambitious services rural,163.15828208631137,,0.0,115585.7347364844,retrofitting,0.009478612889458532,True,BE0 0 services rural heat,1.0,PQ,163.15766316161955,services rural, retrofitting ambitious,0.20111698724018942,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting moderate residential urban decentral,19726.39806446083,,0.0,140024.15849332,retrofitting,0.009005666743009361,True,BE0 0 residential urban decentral heat,1.0,PQ,19726.396927697187,residential urban decentral, retrofitting moderate,0.5818516525422083,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting ambitious residential urban decentral,7635.30528445464,,0.0,162151.0385477262,retrofitting,0.010782095729302422,True,BE0 0 residential urban decentral heat,1.0,PQ,7635.304039369053,residential urban decentral, retrofitting ambitious,0.22521166727482925,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting moderate services urban decentral,11730.217629345396,,0.0,93388.27905595789,retrofitting,0.009164661756173358,True,BE0 0 services urban decentral heat,1.0,PQ,11730.216993464086,services urban decentral, retrofitting moderate,0.6658143975711579,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting ambitious services urban decentral,3543.2487460344723,,0.0,115585.7347364844,retrofitting,0.010699266507906856,True,BE0 0 services urban decentral heat,1.0,PQ,3543.24823876493,services urban decentral, retrofitting ambitious,0.20111698724018942,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting moderate urban central,381.58015641388357,,0.0,107749.18163826314,retrofitting,0.01036717377268493,True,BE0 0 urban central heat,1.0,PQ,1.3275979605413193e-05,urban central, retrofitting moderate,0.6095233841063659,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BE0 0 retrofitting ambitious urban central,134.05689472473858,,0.0,127090.34661541732,retrofitting,0.00925079990122544,True,BE0 0 urban central heat,1.0,PQ,1.1113880789598214e-05,urban central, retrofitting ambitious,0.21413800157570376,BE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting moderate residential rural,1296.5217008715745,,0.0,130936.8671798071,retrofitting,0.009656458068818298,True,BG0 0 residential rural heat,1.0,PQ,1296.5170406460431,residential rural, retrofitting moderate,0.584040516065471,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting ambitious residential rural,604.9393424751763,,0.0,154849.62141654216,retrofitting,0.010449731398421848,True,BG0 0 residential rural heat,1.0,PQ,604.9333652578941,residential rural, retrofitting ambitious,0.2725053391161906,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting moderate services rural,310.3818052486214,,0.0,133436.91298646596,retrofitting,0.00919920099344897,True,BG0 0 services rural heat,1.0,PQ,310.3711833821525,services rural, retrofitting moderate,0.5060191361614482,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting ambitious services rural,219.15906259085213,,0.0,161173.73960030597,retrofitting,0.00919747246184954,True,BG0 0 services rural heat,1.0,PQ,219.1570537217937,services rural, retrofitting ambitious,0.3572976175112582,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting moderate residential urban decentral,2946.8137538930946,,0.0,130936.86717980707,retrofitting,0.009900642945011369,True,BG0 0 residential urban decentral heat,1.0,PQ,2946.811972237125,residential urban decentral, retrofitting moderate,0.584040516065471,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting ambitious residential urban decentral,1374.943106219147,,0.0,154849.62141654213,retrofitting,0.01089564599386162,True,BG0 0 residential urban decentral heat,1.0,PQ,1374.9387447393722,residential urban decentral, retrofitting ambitious,0.2725053391161906,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting moderate services urban decentral,705.454734810801,,0.0,133436.912986466,retrofitting,0.009596568103018174,True,BG0 0 services urban decentral heat,1.0,PQ,705.4488270095666,services urban decentral, retrofitting moderate,0.5060191361614482,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting ambitious services urban decentral,498.11811055603124,,0.0,161173.73960030594,retrofitting,0.009501029512501476,True,BG0 0 services urban decentral heat,1.0,PQ,498.11630959173687,services urban decentral, retrofitting ambitious,0.3572976175112582,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting moderate urban central,1147.4117827886553,,0.0,115110.51607377517,retrofitting,0.00913508998828333,True,BG0 0 urban central heat,1.0,PQ,8.347399669127649e-05,urban central, retrofitting moderate,0.5648863684738015,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BG0 0 retrofitting ambitious urban central,596.2000799685466,,0.0,135787.6858898911,retrofitting,0.010401658572843465,True,BG0 0 urban central heat,1.0,PQ,3.662588661849604e-05,urban central, retrofitting ambitious,0.2935173780756404,BG,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting moderate residential rural,2829.6226578351916,,0.0,152305.52588767643,retrofitting,0.009122597315191387,True,CH0 0 residential rural heat,1.0,PQ,2829.622087016144,residential rural, retrofitting moderate,0.6516815525221995,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting ambitious residential rural,52.57968399357487,,0.0,160324.01783251745,retrofitting,0.01003750443109254,True,CH0 0 residential rural heat,1.0,PQ,52.5795828077089,residential rural, retrofitting ambitious,0.012109462723299713,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting moderate services rural,1194.6679380410724,,0.0,225944.49337412772,retrofitting,0.010593557424842259,True,CH0 0 services rural heat,1.0,PQ,1194.655901807355,services rural, retrofitting moderate,0.6482239683548665,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting ambitious services rural,19.348504921295778,,0.0,237684.84733885195,retrofitting,0.009800798338942554,True,CH0 0 services rural heat,1.0,PQ,19.345690911262665,services rural, retrofitting ambitious,0.010498452534334957,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting moderate residential urban decentral,9880.422757240936,,0.0,152305.52588767646,retrofitting,0.010093954693961325,True,CH0 0 residential urban decentral heat,1.0,PQ,9880.420929573444,residential urban decentral, retrofitting moderate,0.6516815525221995,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting ambitious residential urban decentral,183.59674384856172,,0.0,160324.01783251748,retrofitting,0.010345565059318074,True,CH0 0 residential urban decentral heat,1.0,PQ,183.59669049521875,residential urban decentral, retrofitting ambitious,0.012109462723299713,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting moderate services urban decentral,4171.518859478478,,0.0,225944.49337412772,retrofitting,0.009175150174361279,True,CH0 0 services urban decentral heat,1.0,PQ,4171.516851645548,services urban decentral, retrofitting moderate,0.6482239683548665,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting ambitious services urban decentral,67.56074270666716,,0.0,237684.84733885198,retrofitting,0.010791717474216207,True,CH0 0 services urban decentral heat,1.0,PQ,67.5601069136795,services urban decentral, retrofitting ambitious,0.010498452534334957,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting moderate urban central,855.9386185618905,,0.0,153256.24408312765,retrofitting,0.00967392578577497,True,CH0 0 urban central heat,1.0,PQ,1.4750856286455932e-05,urban central, retrofitting moderate,0.6501602154885731,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CH0 0 retrofitting ambitious urban central,15.008961167974514,,0.0,161304.6085806773,retrofitting,0.010310340551164823,True,CH0 0 urban central heat,1.0,PQ,1.341757267611568e-05,urban central, retrofitting ambitious,0.011400618240155203,CH,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting moderate residential rural,4061.0826923577993,,0.0,107959.4665700649,retrofitting,0.01077131934388957,True,CZ0 0 residential rural heat,1.0,PQ,4061.0819562739143,residential rural, retrofitting moderate,0.4717714791901245,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting ambitious residential rural,2675.2964399615867,,0.0,120266.9004480564,retrofitting,0.009499133169981543,True,CZ0 0 residential rural heat,1.0,PQ,2675.295007653779,residential rural, retrofitting ambitious,0.31078622484783247,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting moderate services rural,1091.0530524687563,,0.0,78011.57982406081,retrofitting,0.009873996658119302,True,CZ0 0 services rural heat,1.0,PQ,1091.052782388861,services rural, retrofitting moderate,0.3998814384536057,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting ambitious services rural,948.7424831420681,,0.0,82963.7729789492,retrofitting,0.0093006730366611,True,CZ0 0 services rural heat,1.0,PQ,948.7420267320896,services rural, retrofitting ambitious,0.347723245925074,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting moderate residential urban decentral,7673.6425204360185,,0.0,107959.46657006488,retrofitting,0.009508453148887994,True,CZ0 0 residential urban decentral heat,1.0,PQ,7673.641739390446,residential urban decentral, retrofitting moderate,0.4717714791901245,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting ambitious residential urban decentral,5055.122013420852,,0.0,120266.9004480564,retrofitting,0.010648621767223209,True,CZ0 0 residential urban decentral heat,1.0,PQ,5055.121211997989,residential urban decentral, retrofitting ambitious,0.31078622484783247,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting moderate services urban decentral,2061.6056676784647,,0.0,78011.57982406081,retrofitting,0.009078951466672635,True,CZ0 0 services urban decentral heat,1.0,PQ,2061.6053751094055,services urban decentral, retrofitting moderate,0.3998814384536057,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting ambitious services urban decentral,1792.701900230501,,0.0,82963.7729789492,retrofitting,0.010344752446493724,True,CZ0 0 services urban decentral heat,1.0,PQ,1792.7016185296657,services urban decentral, retrofitting ambitious,0.347723245925074,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting moderate urban central,3773.879756564209,,0.0,87994.88715233092,retrofitting,0.010717038097112348,True,CZ0 0 urban central heat,1.0,PQ,2996.9302926989058,urban central, retrofitting moderate,0.45637068061788866,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
CZ0 0 retrofitting ambitious urban central,2635.428337041044,,0.0,96924.9089732359,retrofitting,0.010565587223205128,True,CZ0 0 urban central heat,1.0,PQ,0.00016391671015404295,urban central, retrofitting ambitious,0.3186991376190733,CZ,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting moderate residential rural,3883.484680431231,,0.0,286799.0051954841,retrofitting,0.009550404291897272,True,DE0 0 residential rural heat,1.0,PQ,0.001139308214098067,residential rural, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting ambitious residential rural,2345.792041934563,,0.0,308786.38180407387,retrofitting,0.009715492010421031,True,DE0 0 residential rural heat,1.0,PQ,0.001383843485955444,residential rural, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting moderate services rural,1511.349562719992,,0.0,260579.60000648582,retrofitting,0.010701225551700127,True,DE0 0 services rural heat,1.0,PQ,3.017499818212731e-05,services rural, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting ambitious services rural,1049.4305817513825,,0.0,288299.74208099756,retrofitting,0.009315296156606567,True,DE0 0 services rural heat,1.0,PQ,1.8530646400368802e-05,services rural, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting moderate residential urban decentral,27806.18902035094,,0.0,286799.00519548403,retrofitting,0.010811284459534368,True,DE0 0 residential urban decentral heat,1.0,PQ,0.032716174152162644,residential urban decentral, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting ambitious residential urban decentral,16796.13601906225,,0.0,308786.3818040738,retrofitting,0.010973254766942336,True,DE0 0 residential urban decentral heat,1.0,PQ,0.09687606319569612,residential urban decentral, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting moderate services urban decentral,10821.433602810115,,0.0,260579.60000648585,retrofitting,0.009473733245400176,True,DE0 0 services urban decentral heat,1.0,PQ,9046.250661548129,services urban decentral, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting ambitious services urban decentral,7514.041517134425,,0.0,288299.74208099756,retrofitting,0.009170353187131455,True,DE0 0 services urban decentral heat,1.0,PQ,0.013131419573285447,services urban decentral, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting moderate urban central,5197.9233907525295,,0.0,246216.8074909886,retrofitting,0.01065409214519451,True,DE0 0 urban central heat,1.0,PQ,1.0363802003383323e-05,urban central, retrofitting moderate,0.45124817552359064,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 0 retrofitting ambitious urban central,3291.0044104246504,,0.0,266182.94816939626,retrofitting,0.009035832627650345,True,DE0 0 urban central heat,1.0,PQ,8.976320269597408e-06,urban central, retrofitting ambitious,0.28570250544404696,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 1 retrofitting moderate residential rural,7348.096165568082,,0.0,253402.20242459673,retrofitting,0.00980389591357693,True,DE0 1 residential rural heat,1.0,PQ,0.00028068216132757113,residential rural, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 1 retrofitting ambitious residential rural,4438.56662945441,,0.0,272829.22119810345,retrofitting,0.009764601485632686,True,DE0 1 residential rural heat,1.0,PQ,0.0023247334020220956,residential rural, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
