name,p_nom_max,weight,p_nom,capital_cost,carrier,marginal_cost,p_nom_extendable,bus,efficiency,control,p_nom_opt,type,strength,dE,country,p_nom_min,p_min_pu,p_max_pu,p_set,q_set,sign,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
DE0 1 retrofitting moderate services rural,2779.419334942453,,0.0,236884.82647279298,retrofitting,0.010062516588954037,True,DE0 1 services rural heat,1.0,PQ,4.542154815035119e-05,services rural, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 1 retrofitting ambitious services rural,1929.9358146835925,,0.0,262084.3472524643,retrofitting,0.010442070002727854,True,DE0 1 services rural heat,1.0,PQ,0.00015125759767521376,services rural, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 1 retrofitting moderate residential urban decentral,9979.56840979061,,0.0,253402.2024245968,retrofitting,0.009179524140349421,True,DE0 1 residential urban decentral heat,1.0,PQ,9979.478023963477,residential urban decentral, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 1 retrofitting ambitious residential urban decentral,6028.089225017588,,0.0,272829.22119810345,retrofitting,0.010324011812343624,True,DE0 1 residential urban decentral heat,1.0,PQ,0.029628309781898697,residential urban decentral, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 1 retrofitting moderate services urban decentral,3774.77441334065,,0.0,236884.82647279298,retrofitting,0.010863778906795652,True,DE0 1 services urban decentral heat,1.0,PQ,3774.746125125442,services urban decentral, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 1 retrofitting ambitious services urban decentral,2621.077086523255,,0.0,262084.3472524643,retrofitting,0.009042848027761608,True,DE0 1 services urban decentral heat,1.0,PQ,0.009226740717976238,services urban decentral, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 1 retrofitting moderate urban central,1838.1162905012457,,0.0,219437.55034853535,retrofitting,0.010821892151800648,True,DE0 1 urban central heat,1.0,PQ,1.0704855861837526e-05,urban central, retrofitting moderate,0.45124817552359064,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 1 retrofitting ambitious urban central,1163.7818344293098,,0.0,237232.115411054,retrofitting,0.01003230922233717,True,DE0 1 urban central heat,1.0,PQ,9.382354088066484e-06,urban central, retrofitting ambitious,0.28570250544404696,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting moderate residential rural,1856.63582618452,,0.0,272942.5887533294,retrofitting,0.009670624863369379,True,DE0 2 residential rural heat,1.0,PQ,3.6638298318270996e-05,residential rural, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting ambitious residential rural,1121.4880202258528,,0.0,293867.6665350755,retrofitting,0.010763724826771511,True,DE0 2 residential rural heat,1.0,PQ,2.298901116650934e-05,residential rural, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting moderate services rural,682.3135501605128,,0.0,262615.36840154795,retrofitting,0.010805657451853336,True,DE0 2 services rural heat,1.0,PQ,5.181993651043178e-05,services rural, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting ambitious services rural,473.7757058619397,,0.0,290552.0730509524,retrofitting,0.01089835788686333,True,DE0 2 services rural heat,1.0,PQ,2.506773267205849e-05,services rural, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting moderate residential urban decentral,13952.7414853548,,0.0,272942.5887533295,retrofitting,0.010225535104185984,True,DE0 2 residential urban decentral heat,1.0,PQ,13952.69406577937,residential urban decentral, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting ambitious residential urban decentral,8428.056921259977,,0.0,293867.6665350755,retrofitting,0.009230049536066359,True,DE0 2 residential urban decentral heat,1.0,PQ,0.027691506554977006,residential urban decentral, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting moderate services urban decentral,5127.63162440352,,0.0,262615.36840154795,retrofitting,0.01076222735660022,True,DE0 2 services urban decentral heat,1.0,PQ,5127.6230913310965,services urban decentral, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting ambitious services urban decentral,3560.4558808487427,,0.0,290552.07305095246,retrofitting,0.00952929487712371,True,DE0 2 services urban decentral heat,1.0,PQ,0.016877120922750777,services urban decentral, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting moderate urban central,2582.2260757230542,,0.0,236358.99284226893,retrofitting,0.010004605861780334,True,DE0 2 urban central heat,1.0,PQ,7.331859005698447e-06,urban central, retrofitting moderate,0.45124817552359064,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 2 retrofitting ambitious urban central,1634.9062433349548,,0.0,255525.7465248672,retrofitting,0.00968437765420146,True,DE0 2 urban central heat,1.0,PQ,6.643045955040568e-06,urban central, retrofitting ambitious,0.28570250544404696,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting moderate residential rural,7178.986555189309,,0.0,300818.1814097144,retrofitting,0.010401776199320938,True,DE0 3 residential rural heat,1.0,PQ,0.002279008208139095,residential rural, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting ambitious residential rural,4336.417139785988,,0.0,323880.33478384546,retrofitting,0.009517448422334157,True,DE0 3 residential rural heat,1.0,PQ,0.0017303275285527743,residential rural, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting moderate services rural,2801.7294017747795,,0.0,272550.5950995017,retrofitting,0.009760613465917266,True,DE0 3 services rural heat,1.0,PQ,0.0019427490020074106,services rural, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting ambitious services rural,1945.4271788208368,,0.0,301544.19712538127,retrofitting,0.009002880375132138,True,DE0 3 services rural heat,1.0,PQ,0.00032512814473505374,services rural, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting moderate residential urban decentral,8712.107378047469,,0.0,300818.1814097144,retrofitting,0.009695777213039235,True,DE0 3 residential urban decentral heat,1.0,PQ,8712.082085972053,residential urban decentral, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting ambitious residential urban decentral,5262.488161440048,,0.0,323880.3347838455,retrofitting,0.009356879205645475,True,DE0 3 residential urban decentral heat,1.0,PQ,0.0028649326208171695,residential urban decentral, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting moderate services urban decentral,3400.057543616742,,0.0,272550.5950995018,retrofitting,0.009384126314845968,True,DE0 3 services urban decentral heat,1.0,PQ,3400.0497825597645,services urban decentral, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting ambitious services urban decentral,2360.8862264559775,,0.0,301544.19712538127,retrofitting,0.009048000238651197,True,DE0 3 services urban decentral heat,1.0,PQ,0.00560764957640843,services urban decentral, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting moderate urban central,1629.5368402234478,,0.0,257528.5411210836,retrofitting,0.009324554095880956,True,DE0 3 urban central heat,1.0,PQ,6.589463565067978e-06,urban central, retrofitting moderate,0.45124817552359064,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 3 retrofitting ambitious urban central,1031.72219461057,,0.0,278411.96956419194,retrofitting,0.010347552268472934,True,DE0 3 urban central heat,1.0,PQ,5.979125966500154e-06,urban central, retrofitting ambitious,0.28570250544404696,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting moderate residential rural,5166.403371194231,,0.0,272195.23165550514,retrofitting,0.00914048388562978,True,DE0 4 residential rural heat,1.0,PQ,0.0022749466445110824,residential rural, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting ambitious residential rural,3120.730197453893,,0.0,293063.01348547556,retrofitting,0.00965631059579205,True,DE0 4 residential rural heat,1.0,PQ,0.0006927328476935238,residential rural, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting moderate services rural,2036.1368073840306,,0.0,244212.54534356657,retrofitting,0.01055833238056276,True,DE0 4 services rural heat,1.0,PQ,0.002584401828593109,services rural, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting ambitious services rural,1413.8252903271646,,0.0,270191.5799768737,retrofitting,0.009899324758196638,True,DE0 4 services rural heat,1.0,PQ,2.134317150926343e-05,services rural, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting moderate residential urban decentral,10206.837891901785,,0.0,272195.2316555051,retrofitting,0.010433379949693596,True,DE0 4 residential urban decentral heat,1.0,PQ,0.01108682105596051,residential urban decentral, retrofitting moderate,0.4667549478213818,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting ambitious residential urban decentral,6165.369782656297,,0.0,293063.01348547556,retrofitting,0.010592942138237374,True,DE0 4 residential urban decentral heat,1.0,PQ,0.0016748331991055282,residential urban decentral, retrofitting ambitious,0.28194009561829875,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting moderate services urban decentral,4022.627895177163,,0.0,244212.54534356663,retrofitting,0.009325624013744031,True,DE0 4 services urban decentral heat,1.0,PQ,4022.4363989577682,services urban decentral, retrofitting moderate,0.4217612684083967,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting ambitious services urban decentral,2793.1782536183664,,0.0,270191.57997687376,retrofitting,0.010657404299046627,True,DE0 4 services urban decentral heat,1.0,PQ,0.001272076246406948,services urban decentral, retrofitting ambitious,0.29285691687994153,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting moderate urban central,1891.7649858610873,,0.0,230750.98303242962,retrofitting,0.010293516183438258,True,DE0 4 urban central heat,1.0,PQ,1.153384342241278e-05,urban central, retrofitting moderate,0.45124817552359064,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DE0 4 retrofitting ambitious urban central,1197.7488785294358,,0.0,249462.97363881813,retrofitting,0.010174947854188534,True,DE0 4 urban central heat,1.0,PQ,9.946688492798522e-06,urban central, retrofitting ambitious,0.28570250544404696,DE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting moderate residential rural,685.8657272706099,,0.0,478524.507178831,retrofitting,0.010896713444807736,True,DK0 0 residential rural heat,1.0,PQ,4.879778260863546e-06,residential rural, retrofitting moderate,0.6632589208249009,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting ambitious residential rural,12.495417446824787,,0.0,503769.42120007897,retrofitting,0.010056799933585348,True,DK0 0 residential rural heat,1.0,PQ,4.435310230547201e-06,residential rural, retrofitting ambitious,0.012083556243608184,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting moderate services rural,256.70027194809876,,0.0,426855.2421506936,retrofitting,0.010445907249949158,True,DK0 0 services rural heat,1.0,PQ,5.671511308814847e-06,services rural, retrofitting moderate,0.6917478877217458,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting ambitious services rural,4.290890521544657,,0.0,448906.8816692013,retrofitting,0.009181481881692042,True,DK0 0 services rural heat,1.0,PQ,5.153858672359739e-06,services rural, retrofitting ambitious,0.011562957967274412,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting moderate residential urban decentral,3001.4216661915507,,0.0,478524.50717883103,retrofitting,0.009756776027460176,True,DK0 0 residential urban decentral heat,1.0,PQ,1.762335604900831e-05,residential urban decentral, retrofitting moderate,0.6632589208249009,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting ambitious residential urban decentral,54.68128113392452,,0.0,503769.42120007897,retrofitting,0.009436383730073054,True,DK0 0 residential urban decentral heat,1.0,PQ,4.997302574406989e-06,residential urban decentral, retrofitting ambitious,0.012083556243608184,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting moderate services urban decentral,1123.347803087262,,0.0,426855.24215069355,retrofitting,0.01037529433837463,True,DK0 0 services urban decentral heat,1.0,PQ,5.174922744399668e-05,services urban decentral, retrofitting moderate,0.6917478877217458,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting ambitious services urban decentral,18.77739514681822,,0.0,448906.8816692013,retrofitting,0.009356518128872301,True,DK0 0 services urban decentral heat,1.0,PQ,6.030464527099347e-06,services urban decentral, retrofitting ambitious,0.011562957967274412,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting moderate urban central,5132.299733505541,,0.0,403421.20338913094,retrofitting,0.010144151808668452,True,DK0 0 urban central heat,1.0,PQ,5.377231183224101e-06,urban central, retrofitting moderate,0.6715320640507407,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK0 0 retrofitting ambitious urban central,91.19523953425148,,0.0,424624.1625096311,retrofitting,0.00962935518554662,True,DK0 0 urban central heat,1.0,PQ,4.926096107146787e-06,urban central, retrofitting ambitious,0.011932375468298728,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting moderate residential rural,130.83548980840004,,0.0,459615.1290279195,retrofitting,0.009487057631914122,True,DK6 0 residential rural heat,1.0,PQ,5.243693863449965e-06,residential rural, retrofitting moderate,0.6632589208249009,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting ambitious residential rural,2.3836211622959795,,0.0,483862.4648301763,retrofitting,0.01064655737467646,True,DK6 0 residential rural heat,1.0,PQ,4.742359572008067e-06,residential rural, retrofitting ambitious,0.012083556243608184,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting moderate services rural,48.96832839976509,,0.0,409985.27893863287,retrofitting,0.010767845445268613,True,DK6 0 services rural heat,1.0,PQ,6.123466234596512e-06,services rural, retrofitting moderate,0.6917478877217458,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting ambitious services rural,0.8185333602954693,,0.0,431165.4043916965,retrofitting,0.01058331079241024,True,DK6 0 services rural heat,1.0,PQ,5.568731611005961e-06,services rural, retrofitting ambitious,0.011562957967274412,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting moderate residential urban decentral,2006.964354343204,,0.0,459615.1290279193,retrofitting,0.010590151592804997,True,DK6 0 residential urban decentral heat,1.0,PQ,6.264328965998366e-06,residential urban decentral, retrofitting moderate,0.6632589208249009,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting ambitious residential urban decentral,36.56380018901424,,0.0,483862.46483017626,retrofitting,0.009017435285188578,True,DK6 0 residential urban decentral heat,1.0,PQ,5.442892819338815e-06,residential urban decentral, retrofitting ambitious,0.012083556243608184,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting moderate services urban decentral,751.1546732008395,,0.0,409985.2789386328,retrofitting,0.010474727285910798,True,DK6 0 services urban decentral heat,1.0,PQ,1.8660975891169345e-05,services urban decentral, retrofitting moderate,0.6917478877217458,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting ambitious services urban decentral,12.555976053282592,,0.0,431165.40439169656,retrofitting,0.010411820731206823,True,DK6 0 services urban decentral heat,1.0,PQ,6.791171234894969e-06,services urban decentral, retrofitting ambitious,0.011562957967274412,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting moderate urban central,2711.959884400866,,0.0,387479.0219014993,retrofitting,0.009768498514306582,True,DK6 0 urban central heat,1.0,PQ,5.819312958330469e-06,urban central, retrofitting moderate,0.6715320640507407,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
DK6 0 retrofitting ambitious urban central,48.188501082786765,,0.0,407844.09392153437,retrofitting,0.009207429439154396,True,DK6 0 urban central heat,1.0,PQ,5.30905568398614e-06,urban central, retrofitting ambitious,0.011932375468298728,DK,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting moderate residential rural,773.3865216855894,,0.0,135834.98236074822,retrofitting,0.009430934338124752,True,EE5 0 residential rural heat,1.0,PQ,773.3813895129764,residential rural, retrofitting moderate,0.5601123616278547,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting ambitious residential rural,19.697268241292985,,0.0,142089.4951979526,retrofitting,0.010372851851839057,True,EE5 0 residential rural heat,1.0,PQ,19.693663866510185,residential rural, retrofitting ambitious,0.01426541984233487,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting moderate services rural,250.7184872789463,,0.0,1022236.4294295777,retrofitting,0.010321014878905566,True,EE5 0 services rural heat,1.0,PQ,1.6229896255962656e-06,services rural, retrofitting moderate,0.5032049497290159,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting ambitious services rural,6.3720180551080965,,0.0,1090833.8536335698,retrofitting,0.010872281313004961,True,EE5 0 services rural heat,1.0,PQ,1.5365357460948921e-06,services rural, retrofitting ambitious,0.01278896925349432,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting moderate residential urban decentral,751.8682524242494,,0.0,135834.9823607482,retrofitting,0.010371337106495022,True,EE5 0 residential urban decentral heat,1.0,PQ,751.8670580839437,residential urban decentral, retrofitting moderate,0.5601123616278547,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting ambitious residential urban decentral,19.149222587736464,,0.0,142089.4951979526,retrofitting,0.009031653562186201,True,EE5 0 residential urban decentral heat,1.0,PQ,19.147652021406767,residential urban decentral, retrofitting ambitious,0.01426541984233487,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting moderate services urban decentral,243.7426378598152,,0.0,1022236.4294295777,retrofitting,0.010720956573806858,True,EE5 0 services urban decentral heat,1.0,PQ,1.6907066410064944e-06,services urban decentral, retrofitting moderate,0.5032049497290159,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting ambitious services urban decentral,6.194726627855012,,0.0,1090833.8536335696,retrofitting,0.009047196328448892,True,EE5 0 services urban decentral heat,1.0,PQ,1.5573938113894645e-06,services urban decentral, retrofitting ambitious,0.01278896925349432,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting moderate urban central,1292.8359502500496,,0.0,323733.33397062216,retrofitting,0.00943749672796242,True,EE5 0 urban central heat,1.0,PQ,1.797201719189346e-06,urban central, retrofitting moderate,0.5165456253557246,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
EE5 0 retrofitting ambitious urban central,32.87515373685094,,0.0,343475.97280721203,retrofitting,0.00944046334500973,True,EE5 0 urban central heat,1.0,PQ,6.741953157599609e-06,urban central, retrofitting ambitious,0.013135090219592693,EE,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 0 retrofitting moderate residential rural,1420.9217600962086,,0.0,358984.5368720298,retrofitting,0.010377674498379003,True,ES0 0 residential rural heat,1.0,PQ,7.239039987869581e-06,residential rural, retrofitting moderate,0.7087076983604688,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 0 retrofitting ambitious residential rural,463.55143355967135,,0.0,445592.7995326175,retrofitting,0.009162517853440199,True,ES0 0 residential rural heat,1.0,PQ,4.955823832494599e-06,residential rural, retrofitting ambitious,0.23120377122490307,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 0 retrofitting moderate services rural,716.2703146626783,,0.0,154582.52305887314,retrofitting,0.009535248184651728,True,ES0 0 services rural heat,1.0,PQ,716.2567119658315,services rural, retrofitting moderate,0.7173302824073293,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 0 retrofitting ambitious services rural,232.03111959165705,,0.0,207309.66429765554,retrofitting,0.009802470064072488,True,ES0 0 services rural heat,1.0,PQ,3.202675964930143e-05,services rural, retrofitting ambitious,0.23237448926297766,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 0 retrofitting moderate residential urban decentral,10001.938336609604,,0.0,358984.5368720298,retrofitting,0.010685936066779422,True,ES0 0 residential urban decentral heat,1.0,PQ,9.73886943163187e-06,residential urban decentral, retrofitting moderate,0.7087076983604688,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 0 retrofitting ambitious residential urban decentral,3262.9613990828684,,0.0,445592.79953261756,retrofitting,0.009461848173970349,True,ES0 0 residential urban decentral heat,1.0,PQ,6.018771033068454e-06,residential urban decentral, retrofitting ambitious,0.23120377122490307,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 0 retrofitting moderate services urban decentral,5041.862065026716,,0.0,154582.52305887314,retrofitting,0.010674065730106385,True,ES0 0 services urban decentral heat,1.0,PQ,5041.856487207135,services urban decentral, retrofitting moderate,0.7173302824073293,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 0 retrofitting ambitious services urban decentral,1633.2784925280523,,0.0,207309.66429765554,retrofitting,0.01096523973228696,True,ES0 0 services urban decentral heat,1.0,PQ,1633.2545477312815,services urban decentral, retrofitting ambitious,0.23237448926297766,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 1 retrofitting moderate residential rural,3320.779092569193,,0.0,387910.01293978817,retrofitting,0.010894144919200125,True,ES0 1 residential rural heat,1.0,PQ,6.5393768599212775e-06,residential rural, retrofitting moderate,0.7087076983604688,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 1 retrofitting ambitious residential rural,1083.3474101988604,,0.0,481496.80802042823,retrofitting,0.010537483097028502,True,ES0 1 residential rural heat,1.0,PQ,4.510638262612136e-06,residential rural, retrofitting ambitious,0.23120377122490307,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 1 retrofitting moderate services rural,1707.2335867401275,,0.0,163783.24328017203,retrofitting,0.010675792460614597,True,ES0 1 services rural heat,1.0,PQ,1707.195529578821,services rural, retrofitting moderate,0.7173302824073293,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 1 retrofitting ambitious services rural,553.0472398850524,,0.0,219648.6932035797,retrofitting,0.010587108055783728,True,ES0 1 services rural heat,1.0,PQ,2.6874305995633648e-05,services rural, retrofitting ambitious,0.23237448926297766,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
ES0 1 retrofitting moderate residential urban decentral,9565.759663317676,,0.0,387910.012939788,retrofitting,0.010904915135039283,True,ES0 1 residential urban decentral heat,1.0,PQ,8.586444390589416e-06,residential urban decentral, retrofitting moderate,0.7087076983604688,ES,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
