name,total residential space,electricity residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,total international navigation
IT0 0,252.34965921087021,1.0474652592849518,64.61150834116829,7.608075331562993,32.60311653013844,5.08605640478565,400.7751990222332,67.71759424237698,91.18890965477655,7.041139871144084,18.84190685674043,6.381203125017809,22.32866057460712,7.150819524597943,194.11353098554318,83.40754143759328,404.7400351183134,0.015199321688408336,13.574397639277564,234.4094350744427,0.015199321688408336,25.2893143311208,0.0,69.85579043368551,0.0,61.61109763978676,10.587906430909081,9.862032155028327,9.190115091905014,8.511107833608268,1.3977913390040662,1.3509243214200604,42.770282314233214,1.1953348863381699,13.330947338043618,29.439334976189592,0.33645021981648005,0.8588846665216898,13.667397557860102,30.29821964271129,12.77352167928374,33.68408194133805
IT1 0,6.828449602042246,0.028343861272824355,1.7483535733683087,0.20587053349934104,0.8822232563806485,0.13762602232881063,10.844766966714753,1.8324026309431953,2.4675241321506913,0.19052955689098278,0.5098521304921344,0.17267201420378067,0.6042018597988443,0.19349743086521826,5.252610475299387,2.256964383934156,10.952053354764985,0.0004112856837575361,0.36731609009399163,6.342996533676619,0.0004112856837575361,0.6843155997130208,0.0,1.8902610999313716,0.0,1.6671640313499794,0.2865032022658158,0.26686142456034734,0.24867970077027954,0.2303061200125351,0.03782350149553625,0.03655530454781228,1.1573414371200377,0.03234513592943854,0.3607284524574816,0.796612984662556,0.009104166721671978,0.02324096920776656,0.36983261917915367,0.8198539538703228,0.34564480610095394,0.9114736142175075
LT5 0,13.158509530309788,0.03682245814197572,2.5569284805624712,0.17219054455004995,1.2802997608388569,0.6946857019318725,18.597913200828376,2.58999687957572,3.8612044669708343,0.1931187663271801,0.6161695185275118,0.2686610557298552,0.6637667182762922,0.4831167278220729,7.034927652575844,2.8597155862926233,16.314717745699465,0.018070795926382232,0.049511664865586766,11.698835441912465,0.0,0.5703395399381862,0.018070795926382232,0.5387791045526817,0.0,3.4572519944305444,0.7169722121668892,0.011114546747135828,0.16071180346263444,0.011114546747135828,0.5562604087042547,0.0,0.5568636625615718,0.006507414374746857,0.0,0.5568636625615718,0.0047597484333006205,0.0017476659414462385,0.0047597484333006205,0.5586113285030181,0.07166913722089582,1.6263888888888889
LU0 0,4.547940359100628,0.09489488326677274,0.5495931676090963,0.022009258607861574,0.2206985519742992,0.05833368042681305,5.901588142454635,0.8150869895135171,2.995504526910602,0.4971303485889019,0.3680965561875242,0.1294129921126642,0.44689929850607213,0.1939214448067942,4.9545495272837075,1.992658495751092,25.11604133464011,0.001349354315801517,0.02398469365885078,10.007278563369082,0.0009582120238409268,0.3420718301546954,0.00034363799925708863,0.4423280363484555,4.750429270350164e-05,14.30037821110902,0.15527516307506126,0.11999707139718345,0.13703561216623875,0.1069201527255585,0.0182395509088225,0.013076918671624943,1.369017343513297,3.648033885755253,0.0,1.369017343513297,0.1758928462405069,3.4721410395147454,0.1758928462405069,4.841158383028041,0.0,0.0
LV5 0,11.743155808216535,0.04958750165743511,2.406849223210109,0.041028677309871586,0.6743461497604737,0.3494170558510327,16.156213666719893,1.9398486540748685,4.209757788201712,0.2531018265637746,0.592103415172917,0.17954674703501367,0.6280041426423535,0.4099962760383391,6.994086966431823,2.43805649815547,11.685309551372805,0.048942855935843285,0.02875086946073682,5.9582017817638215,0.0,0.9796683163449844,0.048942855935843285,0.5959419522086271,0.0,4.122746631594634,0.8189921860136341,0.04008784236687506,0.1390170746291674,0.04008784236687506,0.6799751113844668,0.0,1.35646754372277,0.011865789610569222,0.0,1.35646754372277,0.008855197232166555,0.003010592378402667,0.008855197232166555,1.3594781361011727,0.0588900573655894,2.8922222222222222
ME0 0,2.306703793829476,0.18444813155740067,0.5414906158534104,0.13708080493324373,0.33358711267969915,0.19314501969939585,3.9230555555555564,1.28,0.003285795752786761,0.003285795752786761,0.0012201871124328993,0.0012201871124328993,0.002217993609634096,0.002217993609634096,0.018055555555555557,0.018055555555555557,2.6397222222222227,0.0,0.03404901890474288,1.5286943660995669,0.0,0.12727134047833896,0.0,0.3089181388865255,0.0,0.6407893578530485,0.03388888888888888,0.021944444444444444,0.025848969078520443,0.01728545203112865,0.008039919810368444,0.004658992413315794,0.02280843573321151,0.001636008711232936,0.0,0.02280843573321151,0.0,0.001636008711232936,0.0,0.024444444444444446,0.0,0.0
MK0 0,2.8832254000855513,0.4658836378464815,0.8068824896341769,0.3462420765230087,0.6478201216527737,0.4878504523179836,6.243611111111112,3.2330555555555565,1.2866046115356382,0.2740859164863049,0.22994224450768225,0.10178237728632583,0.276321846016219,0.1850147900220934,2.728333333333333,1.5061111111111114,5.213333333333334,0.0,0.06724528957215765,3.0191030056778563,0.0,0.2513552055243045,0.0,0.6100995086417247,0.0,1.2655303239172906,0.06777777777777777,0.02,0.051697938157040886,0.01575382969925649,0.016079839620736888,0.004246170300743508,0.08993780908436813,0.006451079804520783,0.0,0.08993780908436813,0.0,0.006451079804520783,0.0,0.0963888888888889,0.0,0.0
NL0 0,96.98070485386336,1.677012042027041,21.0998843549155,1.2927164922125771,9.019537229377523,0.98805843271357,144.9039287096536,22.993945039510802,48.71526423462655,4.540876930588093,8.700428736022022,3.156731436699473,10.058025780597557,3.9363226516567753,92.093087737335,36.855803634629325,129.5340073257974,0.017178684723143583,1.9746063094556556,68.9843287901185,0.0002746057430964992,4.263690012028016,0.01649553425657325,19.456014735638476,0.0004085447234738312,34.85536747855674,2.137497538045809,1.7461080201763124,1.953830700299223,1.6048663955040217,0.183666837746586,0.14124162467229087,34.088285932680414,5.726751639794063,0.0,34.088285932680414,0.5047687879689967,5.221982851825069,0.5047687879689967,39.310268784505475,4.151395560368797,157.51611111111112
NO6 0,34.778211160411175,25.388094147100162,6.627217469391026,4.837868752655449,2.3014780227986096,1.680078956642985,51.44833333333333,39.75388888888889,19.590702629969684,14.30121291987787,2.479699249116245,1.8101804518548588,1.7666531894620985,1.2896568283073315,32.64,26.255,42.017222222222216,0.0030555555555555557,0.541968083507231,24.33267044143456,0.0002464295899540957,2.0258147430742404,0.0025674788124434114,4.917139379591036,0.0002416471531580485,10.199629574615154,0.8419444444444445,0.6869444444444445,0.6421985678442251,0.5411002895314071,0.1997458766002193,0.14584415491303745,8.412051071793206,0.6543378170956813,3.742283042187846,4.66976802960536,0.3193836244788199,0.33495419261686143,4.0616666666666665,5.004722222222221,9.493888888888888,4.5069444444444455
PL0 0,181.0174729526095,0.7692152369676841,36.440072927076,0.9609228276273692,19.610400630597894,7.047007914174111,255.4759287742708,28.614971395075656,62.573525024992,10.35556975264676,7.97939468350991,3.093313045750848,8.34825442367004,5.9166099780324695,102.66718166687151,43.62297393031057,192.61269698949192,0.06892554599548423,1.1902056865962456,103.0670355482981,4.0244353845742254e-05,9.573152358925055,0.06888530164163849,23.628949484159193,0.0,55.15335391151335,4.298996477555368,2.9639113924641545,2.3375083528429057,1.8926934659075896,1.9614881247124616,1.0712179265565644,5.893556717032047,0.06782992365684065,0.4664058704852329,5.427150846546816,0.032927395862322045,0.03490252779451861,0.499333266347555,5.462053374341334,0.03611107926211568,2.505
