country,number cars,average fuel efficiency
AL,1288888.096003976,0.8002314153896606
AT,4441000.0,0.7812904391972135
BA,1724606.2287007917,0.8002314153896606
BE,5276000.0,0.6569848959755114
BG,2854852.0000000005,0.7993970421458663
CH,4136000.0,0.8002314153896606
CZ,4496000.0,0.7421170328869114
DE,42301563.0,0.7590136671919979
DK,2165848.0,0.74423478674223
EE,552680.0,0.8657779921133907
ES,22148000.0,0.7615667966881329
FI,2877484.0,0.6573359982552828
FR,31300000.0,0.6517702704641162
GB,28421000.0,0.7687117998905375
GR,5196873.0,0.7469894156226293
HR,1521000.0,0.6937794502312737
HU,2984060.0,0.7893158186158328
IE,1937130.0,0.7773408643366363
IT,37528616.0,0.6660850134685301
LT,1298712.0,0.7069137627633503
LU,337200.0,1.9728984961637452
LV,636660.0,0.8717158955616549
ME,289587.71600504126,0.8002314153896606
MK,919106.8586436925,0.8002314153896606
NL,7622353.0,0.7063073113282464
NO,2262793.860907084,0.8002314153896606
PL,17240000.0,0.8162554224047418
PT,4692000.0,0.6808150223992189
RO,4320000.0,0.7840413027100163
RS,3212196.0498405346,0.8002314153896606
SE,4334390.0,0.8998041889853475
SI,1112650.0,0.8194529618505477
SK,1669065.0,0.6861011521382164
