country,total residential space,electricity residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,Derived heat residential,Thermal uses residential,electricity residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,Derived heat services,Thermal uses services,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,district heat share,total international navigation
AL,2.696429187544085,0.389126591471026,0.9059004523390441,0.35084875938513743,0.7073119968343218,0.5363848462719862,6.190555555555556,,,3.1911111111111112,0.9205319290618951,0.21291321161928892,0.22213953981212495,0.10021434160278231,0.26536114898625224,0.17176356252312935,2.29,1.3730555555555557,,,9.226944444444445,0.0,0.12084793854473848,5.416069996882918,0.0,0.45940974647422433,0.0,1.0695646778304775,0.0,2.1610520847120878,0.023888888888888887,0.0,0.01886157176652146,0.0,0.005027317122367424,0.0,0.022284492956647604,0.0016043959322412844,0.0,0.022284492956647604,0.0,0.0016043959322412844,0.0,0.023888888888888887,0.39416666666666667,0.0,0.23777777777777778
AT,47.67682989393671,3.37428305429554,9.325621651450456,1.7456038953550412,3.504703608413865,2.3061347761111386,69.52475752091377,8.347461655651964,60.576431845399014,16.97398313732848,15.579435537472003,0.4272786876941778,3.5122510721771802,0.40401546749363226,3.3967951687138966,2.222257857935396,31.64944849981641,12.343848907797621,9.32142777552662,22.919751676888744,89.65006522391735,0.05521735139900484,0.6444314531258585,48.879799210447494,0.02615633891616534,3.1873592050127555,0.019693464266080082,5.613149648038922,0.00688445765248011,31.325325707292304,3.3769420366687775,2.874999960182666,2.3633268297387877,1.9912069885118644,1.0136152069299897,0.8837929716708015,8.16562236869438,0.34717320658791434,0.23669650753121527,7.928925861163166,0.07299327504956774,0.2741799315383466,0.309689782580783,8.203105792701512,0.03500002580139459,0.14,0.20027777777777778
BA,3.8000045396737083,0.5638406373282293,1.2868778107573169,0.5083764318179838,1.0169544842961824,0.7772164128693839,8.830833333333334,,,4.623888888888889,1.170056676559419,0.20454929409038364,0.2626379229331213,0.09627759910566581,0.29272496904339856,0.1650161359050797,2.5702384958351963,1.319117505671612,,,6.048263987866829,0.0,0.07921584866029766,3.550235000887697,0.0,0.30114318364061443,0.0,0.7010998670867106,0.0,1.4165700875915088,0.08388888888888889,0.08388888888888889,0.06623482178476142,0.06777048573254606,0.01765406710412747,0.01611840315634283,0.1870241726815959,0.013465005574274644,0.0,0.1870241726815959,0.0,0.013465005574274644,0.0,0.20048917825587056,0.025545240765885435,0.08,0.07656124637705607
BE,62.612939972853184,2.0210931459467414,14.761888250955273,2.037736659836755,5.9864956889567305,2.5120038878585924,94.72595086564773,0.019722256234514512,83.463024577863,18.835006843929218,31.274426881013877,5.523272662733437,4.675419439771095,1.4053587504547564,4.434409644825085,1.8472928727649849,52.98681368334705,21.7381369069259,0.770556884430183,41.31778923880678,99.7096737790145,0.02798208242323053,0.655722391217167,57.78954796759202,0.01879116911257914,4.161018823340611,0.0019850627972016113,11.516099398446691,0.002012801103268944,25.587285198418027,2.141112937299849,1.585000606292603,1.6609324625861204,1.292089614919667,0.4801804747137289,0.2929109913729359,13.786818650531883,3.1270612018428205,0.0,13.786818650531883,0.5324235637975134,2.594637638045307,0.5324235637975134,16.381456288577187,2.1775047141838577,0.006333338567784867,67.70166666666667
BG,12.738548329528241,1.0478140582833149,5.3261460518385695,2.531367628505982,3.0106923470489657,2.5223510414950545,25.54021298716078,3.8688735113497,21.19312743170461,10.644004823108231,3.900253216785574,1.2680905159921072,1.5716272718049882,0.9013527908799633,1.6161243967534658,1.3138587271542994,11.728279872527978,8.142928412684464,1.3086059098196705,7.38957307634204,35.18669177800461,0.07412995040084117,0.29866415744183034,23.05055108136672,0.0,2.887602017459962,0.07412995040084117,2.2369807285512566,0.0,6.712893793184832,0.45901579530765974,0.2710728262567525,0.2777605341225739,0.18564129979715943,0.18125526118508586,0.08543152645959305,2.1748752883598605,0.035152555217674915,0.057865369731158856,2.117009918628702,0.014256381755458153,0.02089617346221676,0.07212175148661701,2.1379060920909185,0.0,0.16,1.008888888888889
CH,42.88888888888889,3.75,8.86111111111111,2.388888888888889,2.6666666666666665,1.3888888888888888,63.638888888888886,,,17.88888888888889,17.86111111111111,1.0,2.7777777777777777,0.19444444444444442,0.6666666666666666,0.6388888888888888,36.80555555555556,17.38888888888889,,,55.666666666666664,0.0,0.7290823037711289,32.67545014225657,0.0,2.7716444348807703,0.0,6.452742915893298,0.0,13.037746869864897,3.1666666666666665,3.1666666666666665,2.5002548620737755,2.558223633612666,0.6664118045928912,0.6084430330540009,18.203308866121212,1.3244689116565633,0.8939585230507497,17.309350343070463,0.07826369917147259,1.2462052124850906,0.9722222222222222,18.555555555555554,0.4444444444444445,0.04,
CZ,56.762047794362395,2.3923190508717393,10.301618600479719,2.9900018932842247,5.320328886794629,2.9404803768900147,77.91092231695936,11.818047208020227,72.4339271145645,14.382020740739769,19.4321577270055,4.119788176076906,3.1281421031917676,1.0249439201733541,3.6589967204872753,1.9202375419709825,33.92163140818438,14.91995746857894,5.149163029617381,26.496241697319466,68.59974295091583,0.02122141044078098,0.7109145326224526,32.71134455899557,0.0023816319518777354,3.9388020103492325,0.018516696975155473,7.0363583250604815,6.790955317608761e-05,24.202323523888086,2.5166802348193444,1.5028021923191395,1.9798236376271012,1.1692098342666812,0.5368565971922427,0.33359235805245846,3.8238088785723217,0.04952107632963232,0.06523388708528849,3.7585749914870332,0.023183482645342528,0.02633759368428978,0.08841736973063102,3.784912585171323,0.03583294608791626,0.17150693707903011,0.0
DE,411.9332068730576,19.56265330554434,87.45654888535864,8.70600353096311,40.376635184056646,15.21131248718537,618.3784511509463,47.33444444444458,540.9541271145625,128.70006945377614,203.40361519805052,11.09750860112518,39.50317972658437,6.324334020613359,48.38595212446884,20.423413732965223,392.28150573544275,141.38307844178533,16.073611111111166,296.03312941952373,611.4487068565012,0.26296148784876294,5.437460681116667,388.6915395619602,0.19884461845786697,20.31616776712397,0.02002118639356143,29.494614299933342,0.024076826437587705,167.50892454636707,14.977502386392993,11.068894862285426,10.636950805692964,7.6405450801209005,4.340551580700029,3.4283497821645263,89.42763723021,12.225111447259774,8.491386211209827,80.93625101900018,2.013862260497632,10.211249186762144,10.505248471707459,91.14750020576233,3.710553320324447,0.07575749219662516,27.883611111111108
DK,33.05900623331046,0.7253202535681782,7.400216513644408,0.5791818281397942,3.199450117129679,2.528499614483061,49.478020119307615,18.24935463579377,43.71179178199737,10.176987681432816,10.307964374904682,0.3966038115976943,1.941194786744683,0.390061827876895,2.072856201521521,1.6325289455240442,21.735988424253456,9.895039471902605,8.468122233157711,14.686641867967035,43.718910923998195,0.05013002897017551,0.27210808496290784,24.41230128422559,0.021520244525945316,4.100096143100589,0.0,5.456381425753202,0.0020470789238512936,9.478023985955897,1.3338913987111987,0.3969428644675727,1.2273047927662724,0.36688784721395096,0.10658660594492608,0.030055017253621686,10.422173213062203,0.40471681661185865,0.5889735976226482,9.833199615439554,0.12333175387253789,0.2813850627393208,0.7123053514951861,10.114584678178874,1.7309950334847417,0.4575033130014056,8.905
EE,6.811641039476607,0.09564927854164385,1.484151840825614,0.030941968663252013,0.7150628340413121,0.5996701356685858,9.981308500647794,3.2968928008683434,9.011077134321534,1.727993528758908,3.3067016594895557,0.9635668499345014,0.3902128372947333,0.17922212719669034,0.44139623716999005,0.37294635053046754,5.409656697011386,2.806892939996062,1.2561263917825352,4.1475737971914635,8.44937315430013,0.023089602353997856,0.025675350582505637,5.43096621190731,0.005591962492756534,1.046925824316884,0.017375030178322263,0.7043520421317071,6.864470026381833e-05,1.2414537253617202,0.25307311914434943,0.029993914918739786,0.1111814289711795,0.02999391491873979,0.14189169017316994,0.0,0.27931189901870573,0.007350979091305268,0.0,0.27931189901870573,0.0026406240854073603,0.004710355005897908,0.0026406240854073603,0.2840222540246036,0.14111636614042244,0.3460095731962218,3.3588888888888886
