country,number cars,average fuel efficiency
AL,1387332.0519390919,0.7423752108454592
AT,4748048.0,0.7204001595291749
BA,1856329.890444599,0.7423752108454592
BE,5623579.0,0.6254277921131247
BG,3173323.0000000005,0.7631939037685269
CH,4136000.0,0.7423752108454592
CZ,5115316.0,0.7159234535579583
DE,45071209.0,0.7286365202152025
DK,2370077.0,0.6568122248754276
EE,676596.0,0.8009353690405185
ES,22355549.0,0.7478449077465198
FI,3257581.0,0.6562097136005911
FR,32326000.0,0.6052731014634787
GB,30250374.0,0.7034640527737615
GR,5102575.0,0.7085596774140985
HR,1499802.0,0.7127335817543701
HU,3196856.0,0.776610456957981
IE,2060170.0,0.7224661393318744
IT,38503684.0,0.6569565345663411
LT,1437197.0,0.699759825707338
LU,381103.0,1.6048928070485147
LV,679048.0,0.8010889412112243
ME,311706.1298860732,0.7423752108454592
MK,989307.3014691831,0.7423752108454592
NL,7979083.0,0.6405174899547359
NO,2435623.7441405626,0.7423752108454592
PL,20723423.0,0.7590085434437182
PT,4722963.0,0.6351050620981782
RO,5155000.0,0.6912318431629485
RS,3457540.3022747505,0.7423752108454592
SE,4668262.0,0.7811127585657855
SI,1130194.0,0.7292826300202346
SK,2034574.0,0.6583079920603117
