country,number cars,average fuel efficiency
AL,1337905.8715347697,0.7624544454616882
AT,4641308.0,0.7304619851152314
BA,1790194.8249951932,0.7624544454616882
BE,5493472.0,0.6268024806436676
BG,3044908.0000000005,0.7784316605123411
CH,4136000.0,0.7624544454616882
CZ,4729185.0,0.7315728334990539
DE,43851230.0,0.7432623098427125
DK,2278976.0,0.6818613891173997
EE,628565.0,0.8280599250453659
ES,22024538.0,0.7165023589379962
FI,3127399.0,0.6618432918472057
FR,32858000.0,0.6240653321661263
GB,30075436.0,0.7336230223237205
GR,5105093.0,0.7339962613819674
HR,1448000.0,0.6890680782191023
HU,3050722.0,0.7777136765990317
IE,1984550.0,0.7476901917160825
IT,37883046.0,0.6626027579702611
LT,1359610.0,0.6815156158348814
LU,363247.0,1.7833742599647318
LV,634600.0,0.8286757064937167
ME,300601.04268842045,0.7624544454616882
MK,954061.4631787867,0.7624544454616882
NL,7915613.0,0.667243100689453
NO,2348850.3012530576,0.7624544454616882
PL,19389446.0,0.7768462910567593
PT,4327478.0,0.6475327183016284
RO,4696000.0,0.7305672410188012
RS,3334359.258128479,0.7624544454616882
SE,4494661.0,0.8120458525150848
SI,1114800.0,0.7648171773661367
SK,1879759.0,0.663640063825432
