name,total residential space,electricity residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,Derived heat residential,Thermal uses residential,electricity residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,Derived heat services,Thermal uses services,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,district heat share,total international navigation
BE0 0,72.00315684834004,2.815051564451901,14.758606504598776,1.9245397162358573,5.61762658049057,2.123765047409,104.53126486079485,0.04833332207479071,92.47214768445166,19.810133003074892,35.55025666623682,6.15908859930896,4.553234776118736,1.300578293477998,4.296286602056132,1.7511206036264235,57.02787214957842,22.25434577090179,0.7699977716616743,45.32121766089195,93.22107248215386,0.01074409225014649,0.6477429921079886,54.179087820705185,0.00663621275162569,3.9549668031768976,0.001991249371656604,10.47276574878302,0.0015859584461520304,23.966509117380763,2.2359228430787947,1.596953398545387,1.7366935264699337,1.3069701191598992,0.4992293166088615,0.2899832793854877,11.903404936264774,2.9443700871166114,0.0,11.903404936264774,0.5794491728255937,2.3649209142910177,0.5794491728255937,14.268325850555792,1.822780948768488,0.005938827981198723,71.59805555555556
BG0 0,13.774445984268725,1.0366899653005102,5.032599359348841,2.50096431277225,2.8263907739201346,2.446346362124563,26.12634752262353,3.7022538115171097,21.73836698969168,10.536998125106877,3.6161635069149143,1.317290338927257,1.4876301353881975,0.8459255010716765,1.614166101394505,1.2802729496644545,11.214107236902931,7.954580847599142,1.1947324162166162,7.013424737247175,27.913508544418907,0.052404016189197634,0.2678003482560851,18.169304336032837,0.0,2.6753054767672606,0.052404016189197634,1.7232510629253992,0.0,5.077847320437322,0.36999955326892575,0.19499962550233105,0.2595248907228583,0.1337123426290272,0.1104746625460674,0.061287282873303824,1.973548916568037,0.0214510834319626,0.06685311111111157,1.9066958054569256,0.014557162495289691,0.0068939209366729115,0.08141027360640128,1.9135897263935984,0.0,0.16,1.0494444444444446
CH0 0,51.52777777777778,4.388888888888889,8.944444444444445,2.3888888888888893,2.6111111111111107,1.3611111111111112,72.58333333333333,0.0,0.0,18.777777777777775,21.5,1.1666666666666667,2.805555555555556,0.1944444444444444,0.6666666666666666,0.6388888888888888,40.0,17.055555555555557,0.0,0.0,55.66666666666666,0.0,0.7266870571470953,32.42052787366606,0.0,2.7371259342804404,0.0,6.501111989455677,0.0,13.281213812117386,3.1666666666666665,3.1666666666666665,2.4813596390855683,2.5443268554584644,0.6853070275810978,0.6223398112082018,17.48553834502549,1.2922394327522877,0.8661466101400822,16.619391734885408,0.07829783430436227,1.2139415984479252,0.9444444444444444,17.833333333333332,0.4444444444444445,0.04,0.0
CZ0 0,62.57273499598758,2.5725233632931075,10.288206369245467,2.9111285854172344,5.349291874222478,2.9169812116183698,83.99741666322201,13.888879856159699,78.24427707959727,14.715973413943493,20.246784369915837,4.388583048588386,3.023545149934656,0.943471839130654,3.5053534532295485,1.7737748387302743,34.298400573845164,14.78664045488378,5.310847457419238,27.053057440415177,63.503988188281525,0.08911029892052649,0.6865202837197137,30.92628881993422,0.0007819669138069432,3.866800834894913,0.08831777854219773,5.747667980428656,0.0,22.27671026930401,2.5098763617700213,1.491101348077621,1.957212181581117,1.1043425069361408,0.5526641801889038,0.3867588411414801,3.475878863006784,0.04857262940725213,0.05676534660696452,3.4191135163998188,0.019945792240296925,0.028626837166955205,0.07671113884726144,3.447740353566774,0.023888852908381327,0.18233820828512906,0.0
DE0 0,166.5854061365012,8.12506572893378,30.655212886084307,3.2226730109112687,14.176720038795368,5.007845153091284,239.51220630222988,17.678693175030798,211.837580833978,46.916775140092795,69.03263574858688,2.8210527242748205,13.305021921207748,2.810913587388131,16.56894418197003,7.205634178231391,133.97394209735,48.82168066257061,5.821091549550765,100.52354333831326,207.17335647342324,0.0387207605809039,1.8528340823461547,131.3620654221182,0.027761543999367505,6.517502958743795,0.005076201288961155,9.887185606178496,0.005296530762392547,57.55376840403659,5.496909320674753,4.100043180441189,3.957851548810484,2.8563644834530333,1.5390577718642702,1.2436786969881561,31.524167954930395,4.626288569168733,2.7241633573945854,28.80000459753581,0.7586880291403013,3.8676005400284326,3.482851386534888,32.66760513756425,1.1633364131197823,0.025953507822761387,9.145607043765146
DE0 1,77.84431763042802,3.796792360388158,14.324989110854997,1.505934927305833,6.624692542114776,2.3401346959637395,111.92255489942391,8.26114266984661,98.99037563344143,21.923915371122675,32.258518610419635,1.3182602810998296,6.217353467719899,1.313522325893483,7.742563911302279,3.367147751462051,62.60518459991028,22.814065798983158,2.7201596469244436,46.974022625677925,96.81081278310931,0.01809396906642465,0.8658177698018248,61.384670977296494,0.012972795751550198,3.0455883396050907,0.002372077090415044,4.620219949925801,0.0024750356743085474,26.894515746480113,2.5686713204255063,1.9159245160720035,1.8494792565876308,1.3347612451476982,0.7191920638378759,0.5811632709243052,14.73104637574168,2.1618356924573336,1.272984486386721,13.45806188935496,0.35453016739297827,1.8073055250643555,1.6275146537796998,15.265367414419318,0.5436198245345358,0.01212791176271084,4.273684929246267
DE0 2,79.12426125018015,3.8592205543158657,14.56052561465615,1.5306960384651342,6.733618064364905,2.378612012801168,113.76282486916001,8.396975280035733,100.61801016818573,22.284396090248222,32.7889245068922,1.3399355797899275,6.319581377797195,1.3351197214594783,7.869869867349618,3.4225115777814943,63.6345610403653,23.18918268418275,2.764885467520849,47.74638600921058,98.40261017971625,0.018391476462822073,0.8800538497632051,62.393979303961856,0.013186099017067599,3.0956649731003694,0.0024110796153244563,4.6961872295779195,0.0025157310804270775,27.33672482331291,2.610906316734778,1.9474268200926441,1.8798890443074212,1.3567078584860033,0.7310172724273574,0.5907189616066406,14.973259415753393,2.1973813544367973,1.293915344553268,13.679344071200125,0.3603594769633781,1.8370218774734193,1.6542748215166467,15.516365948673547,0.5525582126810814,0.012327323148848175,4.343954358339206
DE0 3,84.51008394958099,4.121909612450755,15.551630089207487,1.6348873110228885,7.191961339197938,2.5405191493633166,121.50642202693935,8.968539795836142,107.46686732741925,23.8012482467039,35.02079790587143,1.4311421875653776,6.749742042774948,1.425998523847511,8.405555421984806,3.6554747707811104,67.96603229712635,24.76762176857597,2.9530854289098523,50.996382477040804,105.10066970295763,0.019643345735835194,0.9399572716196585,66.64100676092227,0.014083649152519993,3.3063804024570778,0.002575196753571324,5.015846855867821,0.002686971624660551,29.197478412090813,2.7886252399133147,2.0799840839123185,2.007849153219816,1.449056120134674,0.7807760866934986,0.6309279637776442,15.992457815475555,2.3469524997590407,1.3819894513277207,14.610468364147836,0.38488839161367644,1.9620641081453647,1.7668778429413976,16.572532472293204,0.5901696926188021,0.013166418210070814,4.639638231005395
DE0 4,74.82546660122716,3.649550392397171,13.769457128085172,1.4475338346687296,6.367782847127801,2.2493828177223745,107.58212864438221,7.940770421615953,95.1514673295528,21.073692304148864,31.0075132053765,1.267137327909509,5.976240635258058,1.2625831135513883,7.4423024696996105,3.2365676684914315,60.177316622956326,21.92932214505979,2.614670164844397,45.152340827110756,93.05642928146986,0.017392273698012127,0.8322408184580449,59.00413527735309,0.012469702667837795,2.927478530521928,0.0022800864662600433,4.441044948133301,0.0023790522522665176,25.851529707003493,2.469056649818975,1.8416237723147701,1.7777553012985323,1.2829983743138675,0.6913013485204434,0.5586253980009026,14.159767239816281,2.0779983604105436,1.223617356660824,12.936149883155458,0.34078126710974566,1.7372170933007984,1.56439862377057,14.673366976456258,0.5225379098008059,0.011657583805303124,4.1079487709773135
DK0 0,22.121963861237628,0.45726225047152325,4.804184761219516,0.3409372405926505,2.035768428243036,1.589311977220583,33.01636642102877,12.480278513506608,28.99354417248365,6.720066687428708,7.54273430795594,0.4671997388180549,1.2562834909883778,0.2698652136570855,1.373963114883568,1.0802187355637822,14.973490370539634,6.663968225358721,5.7938005532583885,10.408585770737941,27.465566063175967,0.003938936238436027,0.17543030343286925,15.247382455387859,0.003538286252297112,2.5530482910113075,0.0,3.7583964775862166,0.0004006499861389148,5.7313085357577105,0.854888049940935,0.2517377749984215,0.7832453334561015,0.23076189726421156,0.07164271648483359,0.020975877734209784,6.5604392212542,0.19902536374542965,0.386909511038851,6.173529710215353,0.06654579881797179,0.13247956492745788,0.45345530985682286,6.306009275142808,1.2898639169922383,0.3023806711069424,4.758410669760608
