name,residential water,residential space,services water,services space
AL0 0,92.73625718946077,0.00048433673487577924,17.265625113696956,0.0001123831807337238
AT0 0,1045.7092561378513,0.00045656072567399296,385.43649445224554,0.00017744083730245812
BA0 0,149.1289593746021,0.00022212149867294515,26.98141761114671,6.013528635930225e-05
BE0 0,1665.0794465923534,0.002048999929128946,511.2442711429295,0.0010048060088501734
BG0 0,573.1063399663944,0.00020681559787655667,166.30669223671435,6.027829667220669e-05
CH0 0,999.2916413681442,0.0007796896266061725,316.23153207852664,0.0003254881856033648
CZ0 0,1163.2533960000037,0.0005701001668667913,342.25080542749015,0.00019708287621060565
DE0 0,1559.2770887770816,0.0006844883995387475,679.3657274712185,0.00028747904055455525
DE0 1,1638.584227595679,0.0010823028765985492,713.9192731142277,0.00045456060608364547
DE0 2,1611.8568853377803,0.0005514077702244408,702.2743637859887,0.00023158821893419629
DE0 3,1758.5411283647127,0.0005436474863246363,766.18362544949,0.0002283287498005571
DE0 4,3453.498955853309,0.0006173344268794694,1504.6644674965748,0.00025927695710461216
DK0 0,483.8005396863424,0.001734487344514719,128.29125365820218,0.0006012521135858706
DK6 0,339.0584471439483,0.0075323530539349644,89.90943514800786,0.002611092170529731
EE5 0,177.14592723428814,0.0006970105145383058,42.24585409088165,0.00025289299957592036
ES0 0,2459.117963783193,0.00011105362251925898,861.8835250910302,5.4990637607960937e-05
ES0 1,2013.720809095058,0.00016422382862706138,705.778582017234,8.131930974648069e-05
ES3 0,67.19738599527976,0.029155266161923446,23.55166395898058,0.01443711557636125
FI6 0,1028.0259811379342,6.566031363689652e-05,288.5159170261873,3.301232390434034e-05
FR0 0,1447.9646358342761,0.00037010668874451724,501.71928263986536,0.00019751631062098646
FR0 1,1690.3965338834616,0.00046749813638360065,585.7218576807793,0.00024948936553961484
FR0 2,946.4316045815596,0.0006074029417927594,327.93824791498844,0.00032414607868521756
FR0 3,1272.1201111073794,0.0006320368351659363,440.7892111320801,0.0003372971566144816
FR0 4,2873.987731421343,0.0005412203443511119,995.8358286103366,0.00028883283712035116
GB2 0,252.009536951858,0.0031190529418641468,67.96417677060545,0.0010750506786407345
GB4 0,2366.7427076553217,0.0003121212548074328,638.2842558230483,0.00010757947995852818
GB4 1,6374.4463886552085,0.00048552692786240997,1719.1174842564467,0.0001673506727124347
GR0 0,958.3653286607708,0.0006645983320261319,390.4988237061174,0.00010979704144572819
HR0 0,508.46611947147704,0.001128187082890195,107.28635620572946,0.00020052858728270782
HU0 0,1024.8964951643288,0.000607457463988079,294.26223358539266,0.00016445428675819498
IE2 0,729.7314258046924,0.0006355189004128526,193.92814322922553,0.00022068017307686784
IT0 0,3116.9874353461364,0.0007505620490333381,935.5219763263334,0.00024543643757683753
IT0 1,4124.9704950621735,0.00030670899851667434,1238.0545734859024,0.0001002954960248826
IT1 0,195.96358838979225,0.005348231889998602,58.81584295769232,0.0017488941023406197
LT5 0,298.78716178002526,0.00038011465223675785,72.25079672904432,0.00012081081606637179
LU0 0,60.20805192077582,0.020170290910096245,42.70128472831077,0.011967967221739284
LV5 0,264.99301777632957,0.0004986895555396175,69.46363084059148,0.0001896355189171532
ME0 0,53.849450171803156,0.0017114405449067417,1.2065177199704584,6.042140833251629e-05
MK0 0,94.53096259294239,0.0018400747757111285,28.650922161329614,0.0008470194837372314
NL0 0,2459.0845918559626,0.0013467355222659327,995.2977379779129,0.0007010848124909903
NO6 0,706.3264523922105,6.818030019811466e-05,308.98365735932316,4.1414151268859926e-05
PL0 0,4217.970366112802,9.976347557572554e-05,951.5174445680086,3.334027488763491e-05
PT0 0,795.6893782050141,0.00019211983797143343,265.5804271714135,0.0001865192172526869
RO0 0,1424.3816062305289,0.00011946245977967106,271.35827377739685,2.2872564843417062e-05
RS0 0,599.8437931237364,0.00025101242837092787,104.49546484142273,6.0198719553841995e-05
SE6 0,1506.452104985983,5.033738918274093e-05,479.87604263576253,2.0005536525340434e-05
SI0 0,335.12243513019916,0.001837494294548868,58.49037944053822,0.0005344659635405042
SK0 0,454.05627406605794,0.000459489662772808,178.037181323823,0.00028012112179889295
